fixture_key,match_date,market,player,side,entry_ts,entry_odds,entry_fair_probability,close_ts,close_odds,close_fair_probability,minutes_close_before_kickoff,clv_pct,clv_pct_normalised,clean_clv_pct,clv_quality,clv_source,result
7bf6cd9c79eada9e,,goals,Victor Muñoz,over,2026-07-13T02:28:33.319043+00:00,5.75,0.17391304347826086,,5.75,0.17391304347826086,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
7bf6cd9c79eada9e,,sot,Adrien Rabiot,over,2026-07-13T02:28:33.319241+00:00,3.75,0.26666666666666666,,3.75,0.26666666666666666,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
46a91e2229dbb8eb,,sot,Nico O'Reilly,over,2026-07-13T02:28:33.319451+00:00,3.6,0.2777777777777778,,3.6,0.2777777777777778,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
46a91e2229dbb8eb,,goals,Noni Madueke,over,2026-07-13T02:28:33.320084+00:00,6.0,0.16666666666666666,,6.0,0.16666666666666666,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
7bf6cd9c79eada9e,,sot,Rodri,over,2026-07-13T02:28:33.320633+00:00,5.8,0.1724137931034483,,5.8,0.1724137931034483,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
46a91e2229dbb8eb,,sot,Noni Madueke,over,2026-07-14T17:15:55.485881+00:00,2.25,0.4444444444444444,,2.0,0.5,,0.125,12.5,12.5,OK,v9_clv_records,
46a91e2229dbb8eb,,goals,Harry Kane,over,2026-07-14T19:18:31.682451+00:00,2.51,0.39840637450199207,,2.65,0.37735849056603776,,-0.0528,-5.28,-5.283,OK,v9_clv_records,
46a91e2229dbb8eb,,sot,Declan Rice,over,2026-07-14T19:18:31.683400+00:00,3.6,0.2777777777777778,,3.6,0.2777777777777778,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
348ff97ab1f5a682,,goals,Giuliano Simeone,over,2026-07-15T02:09:31.349072+00:00,5.0,0.2,,,,,,,,NO_CLOSE,,
46a91e2229dbb8eb,,goals,Lionel Messi,over,2026-07-15T05:15:39.249899+00:00,2.56,0.390625,,2.68,0.3731343283582089,,-0.0448,-4.48,-4.4776,OK,v9_clv_records,
348ff97ab1f5a682,2026-08-19,sot,Giuliano Simeone,over,2026-07-15T18:10:09.575129+00:00,1.91,0.5235602094240838,2026-08-19 07:07:07+00:00,1.64,0.6097560975609756,-427.1,,,16.4634,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
46a91e2229dbb8eb,,sot,Anthony Gordon,over,2026-07-15T18:10:09.575633+00:00,2.25,0.4444444444444444,,2.25,0.4444444444444444,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
f76ea6b089da6541,,goals,Lionel Messi,over,2026-07-15T22:03:13.280178+00:00,2.45,0.4081632653061224,,2.94,0.3401360544217687,,-0.1667,-16.67,-16.6667,OK,v9_clv_records,
f76ea6b089da6541,,goals,Victor Muñoz,over,2026-07-15T22:03:13.280615+00:00,4.8,0.20833333333333334,,5.0,0.2,,-0.04,-4.0,-4.0,OK,v9_clv_records,
20f50bb196a5f825,,goals,Harry Kane,over,2026-07-15T22:03:13.281004+00:00,2.55,0.3921568627450981,,2.19,0.4566210045662101,,0.1644,16.44,16.4384,OK,v9_clv_records,
20f50bb196a5f825,,goals,Ousmane Dembélé,over,2026-07-15T22:03:13.281858+00:00,3.3,0.30303030303030304,,3.0,0.3333333333333333,,0.1,10.0,10.0,OK,v9_clv_records,
20f50bb196a5f825,,goals,Noni Madueke,over,2026-07-15T22:03:13.282796+00:00,6.2,0.16129032258064516,,5.1,0.19607843137254904,,0.2157,21.57,21.5686,OK,v9_clv_records,
56a6067c55ee0cda,,goals,Giuliano Simeone,over,2026-07-16T02:25:20.929261+00:00,6.2,0.16129032258064516,,,,,,,,NO_CLOSE,,
f76ea6b089da6541,,sot,Rodri,over,2026-07-16T11:12:42.178356+00:00,3.65,0.273972602739726,,4.0,0.25,,-0.0875,-8.75,-8.75,OK,v9_clv_records,
f76ea6b089da6541,,sot2,Victor Muñoz,over,2026-07-16T11:12:42.179103+00:00,3.7,0.27027027027027023,,5.5,0.18181818181818182,,-0.3273,-32.73,,CLV_IMPLAUSIBLE,v9_clv_records,
f76ea6b089da6541,,sot,Victor Muñoz,over,2026-07-16T15:14:51.068102+00:00,2.0,0.5,,2.0,0.5,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
521c3d8017cab5ab,,sot,Aurélien Tchouaméni,over,2026-07-16T23:19:45.410589+00:00,3.55,0.28169014084507044,,,,,,,,NO_CLOSE,,
521c3d8017cab5ab,,goals,Aurélien Tchouaméni,over,2026-07-16T23:19:45.419219+00:00,9.0,0.1111111111111111,,,,,,,,NO_CLOSE,,
20f50bb196a5f825,,sot,Marcus Rashford,over,2026-07-18T20:22:22.086785+00:00,2.0,0.5,,2.0,0.5,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
20f50bb196a5f825,,goals,Marcus Rashford,over,2026-07-18T20:22:22.088044+00:00,5.18,0.19305019305019305,,5.18,0.19305019305019305,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
64031e877f12ff77,,sot,Martín Satriano,over,2026-08-13T15:40:27.756789+00:00,1.67,0.5988023952095809,,1.76,0.5681818181818182,,-0.0511,-5.11,-5.1136,OK,v9_clv_records,
