league,n,first,last,avg_goals,cov_shots,cov_corners,cov_market,in_v9_leagues
Championship,1672,2020-09-11,2026-08-15,2.4270334928229667,1.0,0.9982057416267942,0.9982057416267942,True
League Two,1669,2020-09-12,2026-08-15,2.397843019772319,1.0,0.9964050329538646,0.9964050329538646,True
League One,1668,2020-09-12,2026-08-15,2.621702637889688,1.0,0.9964028776978417,0.9964028776978417,True
National League,1547,2020-10-03,2026-08-08,2.748545572074984,0.0006464124111182935,0.0006464124111182935,1.0,True
La Liga 2,1405,2020-09-12,2026-08-16,2.1651245551601424,1.0,0.9950177935943061,0.9950177935943061,True
Turkish Super Lig,1379,2019-09-28,2026-08-16,2.8477157360406093,1.0,1.0,1.0,True
Portuguese Primeira Liga,1177,2019-09-28,2026-08-08,2.5131690739167376,1.0,1.0,1.0,True
Serie B,1157,2020-09-25,2026-08-23,2.4148660328435607,1.0,0.9982713915298185,0.9982713915298185,True
Ligue 2,1151,2020-08-22,2026-08-08,2.362293657688966,0.9973935708079931,0.9973935708079931,1.0,True
Scottish League One,1101,2019-09-28,2026-04-18,2.819255222524977,0.9990917347865577,0.9990917347865577,1.0,False
Scottish League Two,1099,2019-09-28,2026-04-18,2.7197452229299364,0.9990900818926297,0.9990900818926297,1.0,False
Belgian First Division A,1098,2019-09-28,2025-07-26,2.946265938069217,0.9954462659380692,0.9954462659380692,1.0,True
Greek Super League,945,2019-09-28,2026-08-22,2.3153439153439153,1.0,0.9957671957671957,0.9957671957671957,True
Scottish Premiership,831,2019-09-28,2023-08-06,2.62575210589651,1.0,1.0,1.0,True
Denmark 1st Div,694,2019-09-28,2023-05-28,2.913544668587896,1.0,1.0,1.0,False
Scottish Championship,606,2019-09-28,2025-08-02,2.6584158415841586,1.0,1.0,1.0,True
Dutch Eredivisie,585,2019-09-28,2026-08-07,2.953846153846154,1.0,1.0,1.0,True
Bundesliga 2,562,2020-09-18,2026-08-09,2.9288256227758005,1.0,0.9626334519572953,0.9626334519572953,True
Norway Eliteserien,534,2019-03-30,2026-09-18,2.9850187265917603,0.9812734082397003,0.9812734082397003,0.9588014981273408,True
USA MLS,46,2019-03-02,2026-09-20,3.4782608695652173,0.30434782608695654,0.30434782608695654,0.0,True
Sweden Allsvenskan,43,2019-03-31,2026-09-20,2.744186046511628,0.37209302325581395,0.37209302325581395,0.023255813953488372,True
Argentina Primera Division,40,2019-07-27,2026-09-21,1.975,0.375,0.375,0.0,True
Romanian Superliga,39,2019-07-12,2026-09-21,3.2051282051282053,0.3333333333333333,0.3333333333333333,0.0,True
China Super League,32,2019-03-01,2026-09-18,2.5625,0.375,0.375,0.0,True
Mexico Liga MX,28,2019-07-20,2026-09-21,3.107142857142857,0.42857142857142855,0.42857142857142855,0.0,True
Brazil Serie A,26,2019-04-27,2026-09-20,3.0,0.5769230769230769,0.5769230769230769,0.0,True
K-League 1,24,2026-09-05,2026-09-20,2.5833333333333335,0.0,0.0,0.0,True
Japan J-League,24,2019-02-22,2026-08-09,2.5416666666666665,0.7083333333333334,0.7083333333333334,0.0,True
Austrian Bundesliga,23,2019-07-26,2026-09-20,3.0869565217391304,0.43478260869565216,0.43478260869565216,0.0,True
Saudi Pro League,22,2026-08-13,2026-09-13,2.4545454545454546,0.0,0.0,0.0,True
Finland Veikkausliiga,20,2019-04-03,2026-09-19,2.05,0.35,0.35,0.0,True
Ireland Premier Division,18,2019-02-15,2026-09-19,2.2222222222222223,0.05555555555555555,0.05555555555555555,0.0,True
Denmark Superliga,10,2019-07-12,2025-07-20,3.0,0.7,0.7,0.1,True
